state,county_fips,status,formatted_address,latitude,longitude,year_built,listing_office_website,listing_agent_email,hoa_exists,state_fips,bedrooms,history_most_recent_price,mls_number,hoa_fee,lot_size,listing_office_phone,listing_office_name,listing_agent_name,listing_agent_phone,address_line2,price,listing_type,id,listing_agent_website,removed_date,created_date,property_type,address_line1,city,listing_office_email,last_seen_date,listed_date,bathrooms,zip_code,history_event_count,history_most_recent_event_type,history_min_price,days_on_market,mls_name,square_footage,history_max_price,history_most_recent_event_date,market_averageprice,market_medianprice,market_minprice,market_maxprice,market_averagedaysonmarket,market_mediandaysonmarket,market_mindaysonmarket,market_maxdaysonmarket,market_newlistings,market_totallistings
TX,133,Active,"501 County Rd, 384, No City, TX 76442",32.121075,-98.86319,,http://www.brownwoodrealestate.com,jeffhibbs2@yahoo.com,FALSE,48,,673585,21022548,,3667316,3256461547,"Coldwell Banker, Mark Campbell & As","Jeff Hibbs, Agent",3256423559,384,673585,Standard,"501-County-Rd,-384,-No-City,-TX-76442",http://www.brownwoodrealestate.com,,2025-08-05 00:00:00+00:00,Land,501 County Rd,No City,office@brownwoodrealestate.com,2025-11-09 06:12:33.474000+00:00,2025-08-05 00:00:00+00:00,,76442,1,Sale Listing,673585,97,NTREIS,,673585,8/5/2025,764616,185500,15000,6906250,127.31,102,3,339,2,80
TX,405,Active,"3811 County Rd, 3100, San Augustine, TX 75972",31.453602,-94.25339,2013,http://www.summerscook.com,brkrjames@gmail.com,FALSE,48,3,325900,20257073,,1335114,9037578686,SUMMERS COOK & CO,James Grubbs,9036650056,3100,325900,Foreclosure,"3811-County-Rd,-3100,-San-Augustine,-TX-75972",http://www.summerscook.com,,2025-09-16 00:00:00+00:00,Manufactured,3811 County Rd,San Augustine,office@summerscook.com,2025-11-09 06:13:42.275000+00:00,2025-10-15 00:00:00+00:00,2,75972,2,Sale Listing,325900,26,Longview,2010,339900,10/15/2025,295300,300000,259999,325900,79,59,25,153,0,3
TX,405,Active,"County Road, 388, San Augustine, TX 75972",31.441474,-94.150267,,www.josephwalterrealty.com,info@josephwalterrealty.com,FALSE,48,,65000,31233393,,435600,8882271009,"Joseph Walter Realty, LLC",Edward Mcclintick,8004300524,388,65000,Standard,"County-Road,-388,-San-Augustine,-TX-75972",,,2025-11-01 00:00:00+00:00,Land,County Road,San Augustine,info@josephwalterrealty.com,2025-11-09 06:13:42.291000+00:00,2025-10-31 00:00:00+00:00,,75972,1,Sale Listing,65000,10,Houston,,65000,10/31/2025,418707,149900,20000,4350000,155,146,3,323,2,62
TX,405,Active,"399 State Hwy, 147 N, San Augustine, TX 75972",31.545859,-94.0951,,,scott@mathewsrealty.com,FALSE,48,,3650000,22501625,,3702600,9365987800,Mathews Realty,Scott Foster,9365912339,147 N,3650000,Standard,"399-State-Hwy,-147-N,-San-Augustine,-TX-75972",http://www.mathewsrealty.com,,2025-09-16 00:00:00+00:00,Land,399 State Hwy,San Augustine,,2025-11-09 06:13:42.292000+00:00,2025-09-15 00:00:00+00:00,,75972,1,Sale Listing,3650000,56,Nacogdoches,,3650000,9/15/2025,418707,149900,20000,4350000,155,146,3,323,2,62
TX,405,Active,"County 403 Rd, Parcel 28382, San Augustine, TX 75972",31.4584495,-94.1130248,,http://www.c21cotarealty.com/,tarasmith.c21@gmail.com,TRUE,48,,156250,5107042,17,1089000,9366322121,CENTURY 21 Cota Realty,Tara Smith,9366322121,Parcel 28382,156250,Standard,"County-403-Rd,-Parcel-28382,-San-Augustine,-TX-75972",,,2024-10-30 00:00:00+00:00,Land,County 403 Rd,San Augustine,beckycotarealtor@gmail.com,2025-11-09 06:13:42.292000+00:00,2025-11-06 00:00:00+00:00,,75972,2,Sale Listing,156250,4,Lufkin,,162500,11/6/2025,418707,149900,20000,4350000,155,146,3,323,2,62
TX,405,Active,"251 Pr, # 7701, San Augustine, TX 75972",31.386881,-94.310372,,http://legacyrealestatelufkin.com,,FALSE,48,,89900,6408975,,130680,9366323211,Legacy Real Estate Group,Kaye Kaye Smith,9362757300,# 7701,89900,Standard,"251-Pr,---7701,-San-Augustine,-TX-75972",http://legacyrealestatelufkin.com,,2025-11-05 00:00:00+00:00,Land,251 Pr,San Augustine,beckystanbery@yahoo.com,2025-11-09 06:13:42.293000+00:00,2025-11-04 00:00:00+00:00,,75972,1,Sale Listing,89900,6,Houston,,89900,11/4/2025,418707,149900,20000,4350000,155,146,3,323,2,62
TX,405,Active,"1690 FM 1751, San Augustine, TX 75972",31.428619,-94.105618,,http://legacyrealestatelufkin.com,,FALSE,48,,106125,5106118,,616374,9366323211,Legacy Real Estate Group,,,,106125,Standard,"1690-FM-1751,-San-Augustine,-TX-75972",,,2025-08-23 00:00:00+00:00,Land,1690 FM 1751,San Augustine,beckystanbery@yahoo.com,2025-11-09 06:13:42.309000+00:00,2025-08-22 00:00:00+00:00,,75972,1,Sale Listing,106125,80,Lufkin,,106125,8/22/2025,418707,149900,20000,4350000,155,146,3,323,2,62
TX,405,Active,"1690 Farm Market, # 1751, San Augustine, TX 75972",31.428795,-94.105835,,http://legacyrealestatelufkin.com,,FALSE,48,,106125,27579006,,616374,9366323211,Legacy Real Estate Group,Regan Rash,9364658623,# 1751,106125,Standard,"1690-Farm-Market,---1751,-San-Augustine,-TX-75972",,,2025-08-23 00:00:00+00:00,Land,1690 Farm Market,San Augustine,beckystanbery@yahoo.com,2025-11-09 06:13:42.314000+00:00,2025-08-22 00:00:00+00:00,,75972,1,Sale Listing,106125,80,Houston,,106125,8/22/2025,418707,149900,20000,4350000,155,146,3,323,2,62
TX,405,Active,"4442 FM 1992, San Augustine, TX 75972",31.408336,-94.214068,,,scott@mathewsrealty.com,FALSE,48,,850000,22501496,,533610,9365987800,Mathews Realty,Scott Foster,9365912339,,850000,Standard,"4442-FM-1992,-San-Augustine,-TX-75972",http://www.mathewsrealty.com,,2025-08-21 00:00:00+00:00,Land,4442 FM 1992,San Augustine,,2025-11-09 06:13:42.315000+00:00,2025-08-20 00:00:00+00:00,,75972,1,Sale Listing,850000,82,Nacogdoches,,850000,8/20/2025,418707,149900,20000,4350000,155,146,3,323,2,62
TX,405,Active,"County Road, 142 N, San Augustine, TX 75972",31.5296413,-94.1119678,,nacogdochesrealty.com,mechele@nacogdochesrealty.com,FALSE,48,,407706,22501447,,4553762,9365643800,1st Choice Realty,Mechele Dietert,9365540317,142 N,407706,Standard,"County-Road,-142-N,-San-Augustine,-TX-75972",nacogdochesrealty.com,,2025-08-12 00:00:00+00:00,Land,County Road,San Augustine,info@nacogdochesrealty.com,2025-11-09 06:13:42.316000+00:00,2025-08-11 00:00:00+00:00,,75972,1,Sale Listing,407706,91,Nacogdoches,,407706,8/11/2025,418707,149900,20000,4350000,155,146,3,323,2,62
TX,405,Active,"1751 Parcel 28356, San Augustine, TX 75972",31.5296413,-94.1119678,,http://www.c21cotarealty.com/,tarasmith.c21@gmail.com,FALSE,48,,234900,5105861,,1383030,9366322121,CENTURY 21 Cota Realty,Tara Smith,9366322121,,234900,Standard,"1751-Parcel-28356,-San-Augustine,-TX-75972",,,2025-08-07 00:00:00+00:00,Land,1751 Parcel 28356,San Augustine,beckycotarealtor@gmail.com,2025-11-09 06:13:42.322000+00:00,2025-08-06 00:00:00+00:00,,75972,1,Sale Listing,234900,96,Lufkin,,234900,8/6/2025,418707,149900,20000,4350000,155,146,3,323,2,62
TX,405,Active,"R28429 Private Rd, 7700 Lot 11, San Augustine, TX 75972",31.38639609,-94.31296512,,,mariaibarra838@gmail.com,FALSE,48,,65000,5105890,,65340,9366327000,American Real Estate -Lufkin,Maria Pinner,9364045709,7700 Lot 11,65000,Standard,"R28429-Private-Rd,-7700-Lot-11,-San-Augustine,-TX-75972",,,2025-08-09 00:00:00+00:00,Land,R28429 Private Rd,San Augustine,jaime@americanrealestate.com,2025-11-09 06:13:42.324000+00:00,2025-08-08 00:00:00+00:00,,75972,1,Sale Listing,65000,94,Lufkin,,65000,8/8/2025,418707,149900,20000,4350000,155,146,3,323,2,62
TX,405,Active,"R28429LOT13 Private Rd, 7700, San Augustine, TX 75972",31.38644415,-94.31307258,,,mariaibarra838@gmail.com,FALSE,48,,65000,5105892,,65340,9366327000,American Real Estate -Lufkin,Maria Pinner,9364045709,7700,65000,Standard,"R28429LOT13-Private-Rd,-7700,-San-Augustine,-TX-75972",,,2025-08-09 00:00:00+00:00,Land,R28429LOT13 Private Rd,San Augustine,jaime@americanrealestate.com,2025-11-09 06:13:42.326000+00:00,2025-08-08 00:00:00+00:00,,75972,1,Sale Listing,65000,94,Lufkin,,65000,8/8/2025,418707,149900,20000,4350000,155,146,3,323,2,62
TX,405,Active,"County Road, 3100, San Augustine, TX 75972",31.4525963,-94.2556829,,https://selletx.com/,rj@selletx.com,FALSE,48,,210000,22501354,,1969783,9363053888,ETX Realty LLC,R J Bohac,9362055035,3100,210000,Standard,"County-Road,-3100,-San-Augustine,-TX-75972",,,2025-07-26 00:00:00+00:00,Land,County Road,San Augustine,admin@selletx.com,2025-11-09 06:13:42.331000+00:00,2025-07-25 00:00:00+00:00,,75972,1,Sale Listing,210000,108,Nacogdoches,,210000,7/25/2025,418707,149900,20000,4350000,155,146,3,323,2,62
TX,405,Active,"R28429LOT14 Private Rd, 7700, San Augustine, TX 75972",31.38633424,-94.31298675,,,mariaibarra838@gmail.com,FALSE,48,,65000,5105893,,65340,9366327000,American Real Estate -Lufkin,Maria Pinner,9364045709,7700,65000,Standard,"R28429LOT14-Private-Rd,-7700,-San-Augustine,-TX-75972",,,2025-08-09 00:00:00+00:00,Land,R28429LOT14 Private Rd,San Augustine,jaime@americanrealestate.com,2025-11-09 06:13:42.331000+00:00,2025-08-08 00:00:00+00:00,,75972,1,Sale Listing,65000,94,Lufkin,,65000,8/8/2025,418707,149900,20000,4350000,155,146,3,323,2,62
TX,405,Active,"R28429LOT10 Private Rd, 7700, San Augustine, TX 75972",31.3861877,-94.3125576,,,mariaibarra838@gmail.com,FALSE,48,,84000,5105889,,85944,9366327000,American Real Estate -Lufkin,Maria Pinner,9364045709,7700,84000,Standard,"R28429LOT10-Private-Rd,-7700,-San-Augustine,-TX-75972",,,2025-08-09 00:00:00+00:00,Land,R28429LOT10 Private Rd,San Augustine,jaime@americanrealestate.com,2025-11-09 06:13:42.333000+00:00,2025-08-08 00:00:00+00:00,,75972,1,Sale Listing,84000,94,Lufkin,,84000,8/8/2025,418707,149900,20000,4350000,155,146,3,323,2,62
TX,405,Active,"Shilo Rd, San Augustine, TX 75972",31.595754,-94.192649,,,cathie.rolf@afmforest.com,FALSE,48,,212000,11529238,,3484800,9366767034,AFM REAL ESTATE,Cathie Rolf,7045276780,,212000,Standard,"Shilo-Rd,-San-Augustine,-TX-75972",,,2025-07-08 00:00:00+00:00,Land,Shilo Rd,San Augustine,,2025-11-09 06:13:42.337000+00:00,2025-07-03 00:00:00+00:00,,75972,1,Sale Listing,212000,130,MyStateMLS,,212000,7/3/2025,418707,149900,20000,4350000,155,146,3,323,2,62
TX,405,Active,"R28429LOT12 Private Rd, 7700, San Augustine, TX 75972",31.38651742,-94.31290092,,,mariaibarra838@gmail.com,FALSE,48,,65000,5105891,,65340,9366327000,American Real Estate -Lufkin,Maria Pinner,9364045709,7700,65000,Standard,"R28429LOT12-Private-Rd,-7700,-San-Augustine,-TX-75972",,,2025-08-09 00:00:00+00:00,Land,R28429LOT12 Private Rd,San Augustine,jaime@americanrealestate.com,2025-11-09 06:13:42.340000+00:00,2025-08-08 00:00:00+00:00,,75972,1,Sale Listing,65000,94,Lufkin,,65000,8/8/2025,418707,149900,20000,4350000,155,146,3,323,2,62
TX,405,Active,"1620 FM 1751, San Augustine, TX 75972",31.5296413,-94.1119678,,,crystalheigleyrealtor@gmail.com,FALSE,48,,265000,5105193,,1333372,4094095253,Sam Rayburn-Toledo Band-East Texas Real Estate Group,Crystal Heigley,4093632570,,265000,Standard,"1620-FM-1751,-San-Augustine,-TX-75972",http://luxurylandlake.com,,2025-06-17 00:00:00+00:00,Land,1620 FM 1751,San Augustine,crystalheigleyrealtor@gmail.com,2025-11-09 06:13:42.346000+00:00,2025-06-16 00:00:00+00:00,,75972,1,Sale Listing,265000,147,Lufkin,,265000,6/16/2025,418707,149900,20000,4350000,155,146,3,323,2,62
TX,405,Active,"385 Highway, 21 W, San Augustine, TX 75972",31.531652,-94.13343,2023,,jbuchanan@kw.com,FALSE,48,3,259999,5105103,,56628,9035346600,Keller Williams Realty-Ty,Jeff Buchanan,9362401700,21 W,259999,Standard,"385-Highway,-21-W,-San-Augustine,-TX-75972",https://lufkinproperties.com,,2025-06-10 00:00:00+00:00,Manufactured,385 Highway,San Augustine,terry@kwtyler.com,2025-11-09 06:13:42.347000+00:00,2025-06-09 00:00:00+00:00,2,75972,1,Sale Listing,259999,154,Lufkin,1344,259999,6/9/2025,295300,300000,259999,325900,79,59,25,153,0,3
TX,405,Active,"544 County Rd, 411, San Augustine, TX 75972",31.4079285,-94.1074959,,https://selletx.com/,katie@selletx.com,FALSE,48,,299000,22500911,,2242904,9363053888,ETX Realty LLC,Katie Turner,9362050525,411,299000,Standard,"544-County-Rd,-411,-San-Augustine,-TX-75972",http://www.realtor.com/realestateagents/katie-turner___2756270,,2025-05-24 00:00:00+00:00,Land,544 County Rd,San Augustine,admin@selletx.com,2025-11-09 06:13:42.350000+00:00,2025-05-24 00:00:00+00:00,,75972,1,Sale Listing,299000,170,Nacogdoches,,299000,5/24/2025,418707,149900,20000,4350000,155,146,3,323,2,62
TX,405,Active,"State Highway, 103E, San Augustine, TX 75972",31.39329,-94.195624,,http://legacyrealestatelufkin.com,,FALSE,48,,649900,15996488,,5401440,9366323211,Legacy Real Estate Group,Kaye Kaye Smith,9362757300,103E,649900,Standard,"State-Highway,-103E,-San-Augustine,-TX-75972",http://legacyrealestatelufkin.com,,2025-04-22 00:00:00+00:00,Land,State Highway,San Augustine,beckystanbery@yahoo.com,2025-11-09 06:13:42.402000+00:00,2025-04-21 00:00:00+00:00,,75972,1,Sale Listing,649900,203,Houston,,649900,4/21/2025,418707,149900,20000,4350000,155,146,3,323,2,62
TX,405,Active,"Ab 36 Z Redmond Us Hwy, 103E, San Augustine, TX 75972",31.39340892,-94.19547718,,http://legacyrealestatelufkin.com,,FALSE,48,,649900,5104470,,5401440,9366323211,Legacy Real Estate Group,Kaye Kaye Smith,9362757300,103E,649900,Standard,"Ab-36-Z-Redmond-Us-Hwy,-103E,-San-Augustine,-TX-75972",http://legacyrealestatelufkin.com,,2025-04-22 00:00:00+00:00,Land,Ab 36 Z Redmond Us Hwy,San Augustine,beckystanbery@yahoo.com,2025-11-09 06:13:42.403000+00:00,2025-04-21 00:00:00+00:00,,75972,1,Sale Listing,649900,203,Lufkin,,649900,4/21/2025,418707,149900,20000,4350000,155,146,3,323,2,62
TX,405,Active,"R28391 County Rd, 403, San Augustine, TX 75972",31.45088835,-94.11153897,,http://www.c21cotarealty.com/,tarasmith.c21@gmail.com,TRUE,48,,74900,5104340,17,522720,9366322121,CENTURY 21 Cota Realty,Tara Smith,9366322121,403,74900,Standard,"R28391-County-Rd,-403,-San-Augustine,-TX-75972",,,2025-04-15 00:00:00+00:00,Land,R28391 County Rd,San Augustine,beckycotarealtor@gmail.com,2025-11-09 06:13:42.404000+00:00,2025-04-14 00:00:00+00:00,,75972,1,Sale Listing,74900,210,Lufkin,,74900,4/14/2025,418707,149900,20000,4350000,155,146,3,323,2,62
TX,405,Active,"188 County Rd, 123, San Augustine, TX 75972",31.553452,-94.066724,,www.jlarealestate.com,,FALSE,48,,265000,5104339,,1100761,2817442611,JLA Realty,Amber Mccoy,7134787792,123,265000,Standard,"188-County-Rd,-123,-San-Augustine,-TX-75972",,,2024-03-07 00:00:00+00:00,Land,188 County Rd,San Augustine,maryleec.jla@gmail.com,2025-11-09 06:13:42.405000+00:00,2025-04-14 00:00:00+00:00,,75972,1,Sale Listing,265000,210,Lufkin,,265000,4/14/2025,418707,149900,20000,4350000,155,146,3,323,2,62
TX,405,Active,"57 Fm 1751, San Augustine, TX 75972",31.181794,-94.042021,,http://legacyrealestatelufkin.com,realtormelissae@gmail.com,FALSE,48,,115500,5104209,,729194,9366323211,Legacy Real Estate Group,Melissa Elizalde,9366357052,,115500,Standard,"57-Fm-1751,-San-Augustine,-TX-75972",,,2023-07-15 00:00:00+00:00,Land,57 Fm 1751,San Augustine,beckystanbery@yahoo.com,2025-11-09 06:13:42.407000+00:00,2025-04-03 00:00:00+00:00,,75972,2,Sale Listing,114900,221,Lufkin,,115500,4/3/2025,418707,149900,20000,4350000,155,146,3,323,2,62
TX,405,Active,"Ab 247-1 County Rd, 416, San Augustine, TX 75972",31.41122131,-94.07953932,,http://legacyrealestatelufkin.com,,FALSE,48,,159900,5104194,,1300266,9366323211,Legacy Real Estate Group,Kaye Kaye Smith,9362757300,416,159900,Standard,"Ab-247-1-County-Rd,-416,-San-Augustine,-TX-75972",http://legacyrealestatelufkin.com,,2023-06-15 00:00:00+00:00,Land,Ab 247-1 County Rd,San Augustine,beckystanbery@yahoo.com,2025-11-09 06:13:42.408000+00:00,2025-04-02 00:00:00+00:00,,75972,2,Sale Listing,159900,222,Lufkin,,170000,4/2/2025,418707,149900,20000,4350000,155,146,3,323,2,62
TX,405,Active,"Ab 247-2 County Rd, 416, San Augustine, TX 75972",31.41210033,-94.07820894,,http://legacyrealestatelufkin.com,,FALSE,48,,259900,5104195,,2113357,9366323211,Legacy Real Estate Group,Kaye Kaye Smith,9362757300,416,259900,Standard,"Ab-247-2-County-Rd,-416,-San-Augustine,-TX-75972",http://legacyrealestatelufkin.com,,2023-06-15 00:00:00+00:00,Land,Ab 247-2 County Rd,San Augustine,beckystanbery@yahoo.com,2025-11-09 06:13:42.409000+00:00,2025-04-02 00:00:00+00:00,,75972,2,Sale Listing,259900,222,Lufkin,,266900,4/2/2025,418707,149900,20000,4350000,155,146,3,323,2,62
TX,405,Active,"R28371 County Rd, 411, San Augustine, TX 75972",31.41026531,-94.10535277,,http://www.c21cotarealty.com/,tarasmith.c21@gmail.com,FALSE,48,,141999,5104089,,865102,9366322121,CENTURY 21 Cota Realty,Tara Smith,9366322121,411,141999,Standard,"R28371-County-Rd,-411,-San-Augustine,-TX-75972",,,2025-03-27 00:00:00+00:00,Land,R28371 County Rd,San Augustine,beckycotarealtor@gmail.com,2025-11-09 06:13:42.411000+00:00,2025-03-26 00:00:00+00:00,,75972,1,Sale Listing,141999,229,Lufkin,,141999,3/26/2025,418707,149900,20000,4350000,155,146,3,323,2,62
TX,405,Active,"943 State Hwy, 103 W, San Augustine, TX 75972",31.39411,-94.204071,1990,www.creg1.com,wendygarciahomes@gmail.com,FALSE,48,3,259999,45874835,,59329,7137856666,HomeSmart,Wendy Garcia,8322753262,103 W,259999,Standard,"943-State-Hwy,-103-W,-San-Augustine,-TX-75972",http://www.har.com/wendygarcia,,2024-06-10 00:00:00+00:00,Land,943 State Hwy,San Augustine,cregbroker@creg1.com,2025-11-09 06:13:42.415000+00:00,2025-02-08 00:00:00+00:00,2,75972,2,Sale Listing,259999,275,Houston,2696,265000,2/8/2025,418707,149900,20000,4350000,155,146,3,323,2,62
TX,265,Active,"424 Armadillo Trail Dr E, Comfort, TX 78028",29.900382,-98.940194,,www.nanproperties.com,,FALSE,48,,309999,38946534,,1089000,7137146454,Nan & Company Properties,Leah Leblanc,,,309999,Standard,"424-Armadillo-Trail-Dr-E,-Comfort,-TX-78028",,,2023-09-21 00:00:00+00:00,Land,424 Armadillo Trail Dr E,Comfort,nancy@nanproperties.com,2025-11-09 06:14:05.462000+00:00,2025-10-23 00:00:00+00:00,,78028,2,Sale Listing,309999,18,Houston,,315000,10/23/2025,353928,210000,27999,9250000,138.1,113,2,365,6,479
TX,265,Active,"407 Dark Sky Path, Kerrville, TX 78028",29.98178953,-99.06869319,,www.forepremierproperties.com,laura@forepremierproperties.com,FALSE,48,,420186,120686,,499198,8302574000,Fore Premier Properties,Laura Fore,8304594000,,420186,Standard,"407-Dark-Sky-Path,-Kerrville,-TX-78028",www.forepremierproperties.com,,2025-10-22 00:00:00+00:00,Land,407 Dark Sky Path,Kerrville,leads@forepremierproperties.com,2025-11-09 06:14:05.466000+00:00,2025-10-21 00:00:00+00:00,,78028,1,Sale Listing,420186,20,KerrvilleTX,,420186,10/21/2025,353928,210000,27999,9250000,138.1,113,2,365,6,479
TX,265,Active,"Acorn Aly, Lot 203, Kerrville, TX 78028",30.18055316,-99.14994856,,,mark@hillcountryflatfee.com,TRUE,48,,229000,1917880,125,315810,2104193604,Hill Country Flat Fee Realty & 830 PM,Mark Phillips,2104193604,Lot 203,229000,Standard,"Acorn-Aly,-Lot-203,-Kerrville,-TX-78028",www.hillcountryflatfeerealty.com,,2024-11-15 00:00:00+00:00,Land,Acorn Aly,Kerrville,mark.phillips70@gmail.com,2025-11-09 06:14:05.476000+00:00,2025-10-24 00:00:00+00:00,,78028,2,Sale Listing,229000,17,LERAMLS,,229000,10/24/2025,353928,210000,27999,9250000,138.1,113,2,365,6,479
TX,265,Active,"4356 Comanche Trace Dr, Unit 14, Kerrville, TX 78028",29.9697739,-99.1305934,,comanchetrace.com,,TRUE,48,,239000,120626,73,23522,8308958505,CT Realty,Michelle Manziel,8302856778,Unit 14,239000,Standard,"4356-Comanche-Trace-Dr,-Unit-14,-Kerrville,-TX-78028",,,2025-10-18 00:00:00+00:00,Land,4356 Comanche Trace Dr,Kerrville,sstavinoha@comanchetrace.com,2025-11-09 06:14:05.487000+00:00,2025-10-17 00:00:00+00:00,,78028,1,Sale Listing,239000,24,KerrvilleTX,,239000,10/17/2025,353928,210000,27999,9250000,138.1,113,2,365,6,479
TX,265,Active,"123 Cedar Rdg S, Kerrville, TX 78028",30.069222,-99.213156,1991,,ironkimmy@hotmail.com,FALSE,48,3,114000,11588041,,,8303777309,Home in The Hills Realty,Kimberly Spears,8308965263,,114000,Standard,"123-Cedar-Rdg-S,-Kerrville,-TX-78028",,,2025-10-15 00:00:00+00:00,Manufactured,123 Cedar Rdg S,Kerrville,,2025-11-09 06:14:05.490000+00:00,2025-10-14 00:00:00+00:00,2,78028,1,Sale Listing,114000,27,MyStateMLS,1120,114000,10/14/2025,185132,140000,28000,1350000,93.48,79,5,334,1,67
TX,265,Active,"1072 Albatross Way E, Unit 17, Kerrville, TX 78028",29.976948,-99.123161,,comanchetrace.com,sstavinoha@comanchetrace.com,TRUE,48,,159000,120590,73,10454,8308958505,CT Realty,Stacy Stavinoha,8302575010,Unit 17,159000,Standard,"1072-Albatross-Way-E,-Unit-17,-Kerrville,-TX-78028",,,2025-10-15 00:00:00+00:00,Land,1072 Albatross Way E,Kerrville,sstavinoha@comanchetrace.com,2025-11-09 06:14:05.492000+00:00,2025-10-14 00:00:00+00:00,,78028,1,Sale Listing,159000,27,KerrvilleTX,,159000,10/14/2025,353928,210000,27999,9250000,138.1,113,2,365,6,479
TX,265,Active,"Winn Ranch Way, Lot 10, Kerrville, TX 78028",29.94518291,-99.12155888,,,harrison@sbre.group,FALSE,48,,300000,21086486,,245243,9725146501,BK Real Estate LLC,Harrison Sharp,2148338403,Lot 10,300000,Standard,"Winn-Ranch-Way,-Lot-10,-Kerrville,-TX-78028",,,2025-10-15 00:00:00+00:00,Land,Winn Ranch Way,Kerrville,,2025-11-09 06:14:05.492000+00:00,2025-10-14 00:00:00+00:00,,78028,1,Sale Listing,300000,27,NTREIS,,300000,10/14/2025,353928,210000,27999,9250000,138.1,113,2,365,6,479
TX,265,Active,"173 Dark Sky Path, Kerrville, TX 78028",30.022968,-99.205276,,www.forepremierproperties.com,laura@forepremierproperties.com,TRUE,48,,270222,120570,67,554954,8302574000,Fore Premier Properties,Laura Fore,8304594000,,270222,Standard,"173-Dark-Sky-Path,-Kerrville,-TX-78028",www.forepremierproperties.com,,2024-10-11 00:00:00+00:00,Land,173 Dark Sky Path,Kerrville,leads@forepremierproperties.com,2025-11-09 06:14:05.499000+00:00,2025-10-10 00:00:00+00:00,,78028,2,Sale Listing,270222,31,KerrvilleTX,,547200,10/10/2025,353928,210000,27999,9250000,138.1,113,2,365,6,479
